"","year","position","title","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","genre_tags","id","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","hit"
"1986",1978,6,"How Deep Is Your Love","Bee Gees",0.087,0.06,0.853,0.9352,-0.3,107.69,4.4,409.5,8,46,385,60,"electronic/dance, disco, pop","3ZP18us6p6LHOZMG1LLUjF",241093,0.594,0.5,5,-5.586,0,0.0255,0.076,9.86e-05,0.184,0.537,104.996,4,1
"1987",1978,7,"Baby Come Back","Player",0.053,0.151,0.796,-0.9776,2.1,96.18,5.6,322.2,12,15,264,28,"","2eRYuzlSOBk3HlMsCSOLPJ",214373,0.645,0.604,5,-9.904,0,0.118,0.0713,0,0.129,0.545,156.436,4,1
"1988",1978,8,"(Love Is) Thicker Than Water","Andy Gibb",0.237,0.062,0.7,0.9913,1.7,91.78,4,224.1,13,18,177,30,"","5WdF8jm3hBNi1t9qlqdjsE",255960,0.582,0.462,6,-9.882,0,0.0254,0.137,4.98e-05,0.0755,0.528,96.361,4,1
"1989",1978,11,"Grease","Frankie Valli",0.06,0.079,0.861,-0.8843,1.3,98.21,4.8,422.1,19,35,361,51,"","5Vrczz39CvlD3OGCa6utoA",207307,0.82,0.464,11,-8.45,1,0.0481,0.156,0,0.101,0.872,109.374,4,1
"1990",1978,15,"Lay Down Sally","Eric Clapton",0.081,0.043,0.876,0.3506,0.5,105.66,5.2,289.8,9,18,259,31,"blues, pop, reggae, rock","6io0LJIP9ntX35hTfaxwQG",236093,0.69,0.5,4,-16.145,0,0.0909,0.598,0.0288,0.11,0.586,191.539,4,1
"1991",1978,16,"Miss You","Rolling Stones",0.068,0.089,0.842,-0.755,-1,109.72,3.6,322.2,25,35,289,58,"blues, country, reggae, hip-hop/rnb, rock","3hJLKtTpgct9Y9wKww0BiR",288667,0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,4,1
"1992",1978,28,"Too Much, Too Little, Too Late","Johnny Mathis",0.064,0.037,0.899,0.8402,1.7,97.2,5.2,293.4,17,21,244,30,"jazz, pop, soul","23jNwwtRqBSujsMT41gODf",176480,0.501,0.573,8,-9.078,1,0.0673,0.464,6.37e-06,0.0937,0.753,77.805,4,1
"1993",1978,31,"Jack And Jill","Raydio",0.268,0.037,0.695,0.9984,-1,109.72,3.6,331.2,12,42,310,65,"","5KDT5BDSmomPMe2AXuGInR",275667,0.693,0.659,4,-4.722,1,0.0299,0.395,0.00485,0.133,0.541,106.247,4,1
"1994",1978,32,"Take A Chance On Me","ABBA",0.219,0.036,0.745,0.9985,0.9,99.23,4.4,614.7,21,68,526,87,"disco, pop","5BckPAYcKEJuYs1eV1BHHe",243933,0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,4,1
"1995",1978,33,"Sometimes When We Touch","Dan Hill",0.133,0.179,0.688,-0.9169,0.9,99.23,4.4,342.9,29,17,279,45,"folk","1nAexCn3dPoFSmE7h6P5S7",252693,0.591,0.345,2,-11.007,1,0.0391,0.691,1.87e-06,0.0851,0.264,119.333,4,1
"1996",1978,35,"Hopelessly Devoted To You","Olivia Newton-John",0.173,0.203,0.624,-0.7759,1.7,91.78,4,198,11,11,147,25,"","5BUq9bdtsm3LWw5laJeJ4R",185360,0.59,0.338,11,-13.101,0,0.03,0.292,0.0131,0.121,0.322,110.581,3,1
"1997",1978,38,"The Closer I Get To You","Roberta Flack",0.222,0.039,0.739,0.9927,0.5,100.24,4,252,13,21,210,37,"folk, jazz, pop, soul","1UdoFJDUHWu4oWH5JlwmDP",280800,0.49,0.321,9,-13.283,1,0.0302,0.711,2.15e-06,0.0372,0.229,121.377,4,1
"1998",1978,39,"Dust In The Wind","Kansas",0.014,0.024,0.961,-0.0772,-0.3,107.69,4.4,149.4,10,6,131,21,"rock","6zeE5tKyr8Nu882DQhhSQI",206267,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4,1
"1999",1978,41,"Short People","Randy Newman",0.076,0.203,0.72,-0.9448,0.5,100.24,4,213.3,14,9,177,30,"folk, pop, classical/soundtrack","53yBKCc5S7u8zzutqepkiT",176933,0.68,0.617,2,-5.849,1,0.0378,0.731,0.0674,0.12,0.54,121.356,4,1
"2000",1978,43,"Our Love","Natalie Cole",0.508,0.017,0.476,0.9998,1.3,98.21,4.8,381.6,19,10,311,44,"","4sG2lkGzzYu7CAT0Z2V8Vu",209960,0.399,0.0971,0,-14.966,1,0.0285,0.863,3.83e-06,0.0715,0.135,68.897,4,1
"2001",1978,54,"Disco Inferno","Trammps",0.107,0.008,0.885,0.9726,1.3,92.8,3.6,342.9,26,47,269,62,"","7bET0DUAs59D6BsbdTqXuw",218027,0.802,0.85,5,-6.342,1,0.0413,0.126,0.00104,0.113,0.923,128.007,4,1
"2002",1978,55,"On Broadway","George Benson",0.052,0.104,0.844,-0.802,0.1,106.67,4.8,168.3,10,4,150,19,"jazz, hip-hop/rnb","2oFxITGDiTZ1JRwP8yinRt",316160,0.77,0.319,10,-17.098,0,0.0579,0.205,0.000151,0.0687,0.863,117.232,4,1
"2003",1978,56,"Come Sail Away","Styx",0.12,0.019,0.861,0.9782,2.1,90.77,4.4,333.9,23,11,258,38,"rock","0PsbWiVtix5FoTZ1s00mEl",367000,0.324,0.335,0,-15.595,1,0.0355,0.099,1.08e-06,0.0995,0.141,119.513,4,1
"2004",1978,59,"You Belong To Me","Carly Simon",0.135,0.009,0.856,0.9817,-0.7,108.7,4,225,12,19,198,35,"pop","3pErM4EiWKf3k8KU3jjbXn",232667,0.635,0.661,5,-7.848,0,0.0471,0.26,1.01e-05,0.0906,0.857,108.975,4,1
"2005",1978,60,"Here You Come Again","Dolly Parton",0.12,0.033,0.847,0.9607,0.9,99.23,4.4,285.3,13,23,231,38,"country, folk, pop","6H7nDglS6xWpRidbhMwI2L",179491,0.585,0.511,1,-9.37,1,0.0391,0.647,0.007,0.0392,0.552,105.898,4,1
"2006",1978,61,"Blue Bayou","Linda Ronstadt",0.147,0.052,0.801,0.9648,1.3,92.8,3.6,266.4,21,20,209,47,"country, folk","3zxklD2EGecZre9MjEEvIU",239400,0.732,0.161,11,-12.817,1,0.0306,0.739,0.000379,0.105,0.5,95.21,4,1
"2007",1978,62,"Peg","Steely Dan",0.198,0.025,0.777,0.9932,-0.7,108.7,4,287.1,10,33,250,43,"","2MaLglXXcouyoh03rUROQ2",240333,0.797,0.559,0,-11.086,1,0.032,0.0521,0.000232,0.138,0.932,116.97,4,1
"2008",1978,65,"Reminiscing","Little River Band",0.062,0.021,0.916,0.8316,0.5,100.24,4,266.4,25,17,214,40,"","7i3xpu7SFWvzhGa9AZyySR",257869,0.35,0.443,7,-11.01,1,0.0369,0.762,0.00192,0.0994,0.345,189.125,4,1
"2009",1978,66,"Count On Me","Jefferson Starship",0.357,0.026,0.617,0.9984,-0.7,108.7,4,211.5,8,24,199,37,"","3ssnFwx5lu6qxhLBR0vutB",194893,0.552,0.325,9,-14.908,1,0.0284,0.259,1.27e-05,0.453,0.736,111.937,4,1
