,year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
539,1994,97,What Is Love,Haddaway,0.367,0.012,0.621,0.9992,-1.0,109.72,3.6,339.3,8,73,308,64,pop,0.683,0.772,7,-7.907,0.0,0.0311,0.0222,0.0149,0.203,0.737,123.871,audio_features,2IHaGyfxNoFPLJnaEg4GTs,spotify:track:2IHaGyfxNoFPLJnaEg4GTs,https://api.spotify.com/v1/tracks/2IHaGyfxNoFPLJnaEg4GTs,https://api.spotify.com/v1/audio-analysis/2IHaGyfxNoFPLJnaEg4GTs,270373.0,4.0
540,1993,83,To Love Somebody,Michael Bolton,0.326,0.038,0.636,0.9977,0.9,99.23,4.4,276.3,8,11,223,35,"pop, rock",0.367,0.353,11,-11.786,1.0,0.0288,0.335,0.0,0.1,0.282,74.103,audio_features,4ye6YRG07XMpZZ9Y9tNTt6,spotify:track:4ye6YRG07XMpZZ9Y9tNTt6,https://api.spotify.com/v1/tracks/4ye6YRG07XMpZZ9Y9tNTt6,https://api.spotify.com/v1/audio-analysis/4ye6YRG07XMpZZ9Y9tNTt6,247973.0,4.0
541,1993,84,"Give It Up, Turn It Loose",En Vogue,0.15,0.158,0.692,0.9438,0.5,100.24,4.0,536.4,46,18,437,74,,0.836,0.58,1,-8.778,1.0,0.0692,0.19,0.000271,0.0379,0.939,93.015,audio_features,61vIGLnOsYaydUUKfJ9XC5,spotify:track:61vIGLnOsYaydUUKfJ9XC5,https://api.spotify.com/v1/tracks/61vIGLnOsYaydUUKfJ9XC5,https://api.spotify.com/v1/audio-analysis/61vIGLnOsYaydUUKfJ9XC5,312040.0,4.0
542,1993,85,Alright,Kris Kross,0.17,0.033,0.797,0.9976,1.7,97.2,5.2,580.5,50,1,503,56,,0.803,0.582,10,-11.286,0.0,0.19,0.00432,4.26e-05,0.252,0.547,97.305,audio_features,3uGjLZ5abCyCfYXBVfpf8X,spotify:track:3uGjLZ5abCyCfYXBVfpf8X,https://api.spotify.com/v1/tracks/3uGjLZ5abCyCfYXBVfpf8X,https://api.spotify.com/v1/audio-analysis/3uGjLZ5abCyCfYXBVfpf8X,243333.0,4.0
543,1993,86,Check Yo Self,Ice Cube,0.085,0.231,0.684,-0.9988,1.7,97.2,5.2,654.3,71,9,554,68,hip-hop/rnb,0.934,0.735,1,-6.668,1.0,0.251,0.031,8.6e-06,0.107,0.768,101.368,audio_features,3NGT0Td7H4Is1qrlDQJxma,spotify:track:3NGT0Td7H4Is1qrlDQJxma,https://api.spotify.com/v1/tracks/3NGT0Td7H4Is1qrlDQJxma,https://api.spotify.com/v1/audio-analysis/3NGT0Td7H4Is1qrlDQJxma,273107.0,4.0
544,1993,89,Faithful,Go West,0.32,0.03,0.651,0.9989,-0.7,108.7,4.0,414.0,25,35,362,63,pop,0.615,0.912,10,-8.028,0.0,0.0416,0.0323,0.0,0.0966,0.753,105.54,audio_features,3xhcXNUpnYuggzpu6g3Fuz,spotify:track:3xhcXNUpnYuggzpu6g3Fuz,https://api.spotify.com/v1/tracks/3xhcXNUpnYuggzpu6g3Fuz,https://api.spotify.com/v1/audio-analysis/3xhcXNUpnYuggzpu6g3Fuz,265560.0,4.0
545,1993,90,Reason To Believe,Rod Stewart,0.185,0.098,0.718,0.9761,2.9,83.32,4.0,333.9,10,36,231,42,"pop, rock",0.375,0.507,7,-13.372,1.0,0.0414,0.678,0.00139,0.26,0.475,138.216,audio_features,3rGuoVKM5CwEo7eHyeXYIB,spotify:track:3rGuoVKM5CwEo7eHyeXYIB,https://api.spotify.com/v1/tracks/3rGuoVKM5CwEo7eHyeXYIB,https://api.spotify.com/v1/audio-analysis/3rGuoVKM5CwEo7eHyeXYIB,250507.0,4.0
546,1993,91,Break It Down Again,Tears For Fears,0.174,0.086,0.74,0.989,0.5,100.24,4.0,439.2,31,33,361,63,,0.681,0.742,5,-7.0,1.0,0.0249,0.0134,0.422,0.121,0.486,109.001,audio_features,15kc3DJyYixeEEq5kRRrOm,spotify:track:15kc3DJyYixeEEq5kRRrOm,https://api.spotify.com/v1/tracks/15kc3DJyYixeEEq5kRRrOm,https://api.spotify.com/v1/audio-analysis/15kc3DJyYixeEEq5kRRrOm,271533.0,4.0
547,1993,95,Hey Jealousy,Gin Blossoms,0.1,0.126,0.774,-0.8667,1.7,97.2,5.2,392.4,9,37,329,38,rock,0.471,0.797,6,-8.407,0.0,0.0389,0.000179,6.49e-06,0.299,0.497,152.903,audio_features,4o7ZPI2fmEi3piRe0Hrfpy,spotify:track:4o7ZPI2fmEi3piRe0Hrfpy,https://api.spotify.com/v1/tracks/4o7ZPI2fmEi3piRe0Hrfpy,https://api.spotify.com/v1/audio-analysis/4o7ZPI2fmEi3piRe0Hrfpy,236627.0,4.0
548,1993,98,One Woman,Jade,0.113,0.015,0.872,0.9698,0.9,99.23,4.4,319.5,12,23,272,40,,0.662,0.605,1,-9.475,1.0,0.0566,0.0552,0.0,0.418,0.545,151.946,audio_features,0EnFaSWSkj45lktHxHtcXb,spotify:track:0EnFaSWSkj45lktHxHtcXb,https://api.spotify.com/v1/tracks/0EnFaSWSkj45lktHxHtcXb,https://api.spotify.com/v1/audio-analysis/0EnFaSWSkj45lktHxHtcXb,289467.0,4.0
549,1993,100,Two Steps Behind,Def Leppard,0.154,0.023,0.823,0.9857,0.9,99.23,4.4,281.7,13,24,233,37,rock,0.456,0.419,2,-10.594,1.0,0.0247,0.117,0.0,0.178,0.425,146.148,audio_features,0hJnqEmo8DeMmRhh6mwAof,spotify:track:0hJnqEmo8DeMmRhh6mwAof,https://api.spotify.com/v1/tracks/0hJnqEmo8DeMmRhh6mwAof,https://api.spotify.com/v1/audio-analysis/0hJnqEmo8DeMmRhh6mwAof,256486.0,4.0
550,1994,1,The Sign,Ace Of Base,0.057,0.071,0.872,0.4984,-0.3,107.69,4.4,320.4,12,33,279,45,"electronic/dance, pop",0.808,0.786,4,-6.897,0.0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,audio_features,0hrBpAOgrt8RXigk83LLNE,spotify:track:0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/tracks/0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/audio-analysis/0hrBpAOgrt8RXigk83LLNE,191240.0,4.0
551,1994,4,The Power Of Love,Celine Dion,0.229,0.058,0.713,0.9946,1.7,91.78,4.0,325.8,27,26,257,47,pop,0.546,0.519,8,-9.072,1.0,0.0291,0.36,0.00046,0.24,0.247,140.054,audio_features,5kK1Iru9ogP3Iy1zsANU1n,spotify:track:5kK1Iru9ogP3Iy1zsANU1n,https://api.spotify.com/v1/tracks/5kK1Iru9ogP3Iy1zsANU1n,https://api.spotify.com/v1/audio-analysis/5kK1Iru9ogP3Iy1zsANU1n,342400.0,4.0
