"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"A Whole New World",1993,18,"Peabo Bryson",0.114,0.033,0.854,0.9638,1.7,91.78,4,345.6,30,22,268,51,"soul","5VIfacsWytkcgr7aTt8Tql",57,160800,0,"['Lea Salonga', 'Brad Kane']","['1GlMjIezcLwV3OFlX0uXOv', '3dAzSJ9lQnJSq5Z0OgDBep']","1992-01-01",0.341,0.229,0,-15.795,1,0.0344,0.846,2.81e-06,0.101,0.131,126.852,4
"A Woman's Worth",2002,51,"Alicia Keys",0.189,0.044,0.767,0.9953,0.9,104.64,5.6,513,29,31,458,48,"pop, hip-hop/rnb, soul","1NRorokmYEtr1koWybvaE4",57,303333,0,"['Alicia Keys']","['3DiDSECUqqY1AuBP8qtaIa']","2001-06-26",0.667,0.41,4,-8.323,0,0.138,0.331,0,0.064,0.493,75.069,4
"According To You",2010,55,"Orianthi",0.131,0.149,0.72,-0.7745,2.9,83.32,4,441,25,43,314,54,"rock","3SC4yUuwlSL8NvsYgo7B0M",48,200253,0,"['Orianthi']","['0yNy8fi1yBBq526E6mx4Zs']","2009-01-01",0.613,0.917,5,-2.549,1,0.054,0.0222,5.86e-06,0.105,0.538,131.007,4
"Achy Breaky Heart",1992,15,"Billy Ray Cyrus",0.037,0.098,0.865,-0.9628,0.5,105.66,5.2,305.1,14,21,283,32,"","0n23MqnsaJOMfw6GTz8rtV",0,206054,0,"['Martin Jakobsen']","['5732xnDszNfrwlEa8lbyB8']","1931",0.715,0.54,9,-10.794,1,0.0327,0.195,4.68e-05,0.0876,0.932,119.975,4
"Addicted",2008,97,"Saving Abel",0.108,0.049,0.843,0.9693,0.5,100.24,4,398.7,11,48,328,65,"","6GyLQqN1CNVBRpHPAtL9H4",33,341000,0,"['Serge Devant', 'Hadley']","['41ZhnBiaqeoe6asIzVDvqP', '4PQSjhLjiWxHfegKylMv13']","2009-06-09",0.714,0.806,7,-8.406,0,0.0493,0.00505,0.229,0.149,0.607,128.019,4
"Addicted To Love",1986,10,"Robert Palmer",0.423,0.008,0.569,0.9999,2.5,89.75,4.8,648.9,14,55,506,66,"pop, rock","5izGeTxueiFX1UPFGohY9w",70,363640,0,"['Robert Palmer', ""Eric 'ET' Thorngren""]","['530Sdm7eqqzWBdDmILMgnu', '0tO3KaRy0ZACd8XJYT3IX2']","1985-01-01",0.702,0.578,2,-13.415,1,0.031,0.382,5.89e-06,0.0425,0.975,111.617,4
"Addictive",2002,40,"Truth Hurts",0.155,0.108,0.737,0.9677,1.3,98.21,4.8,475.2,43,18,413,53,"","36jSIOSE72neBbKntCthqw",56,226440,1,"['Truth Hurts', 'Rakim']","['0HCeK90YUyjWi0utTPYXw1', '3PyWEKLWI0vHPmoNrIX0QE']","2002-01-01",0.701,0.677,11,-6.591,0,0.147,0.0737,0.000162,0.187,0.367,99.271,4
"Adia",1998,20,"Sarah McLachlan",0.208,0.11,0.682,0.9779,1.7,91.78,4,299.7,18,20,227,38,"pop","3Ys5jPrtSwGZUAw9B5mJar",42,244600,0,"['Sarah McLachlan']","['4NgNsOXSwIzXlUIJcpnNUp']","1997-07-15",0.533,0.378,3,-10.534,1,0.0248,0.705,0,0.181,0.25,76.04,4
"Adore You",2014,100,"Miley Cyrus",0.299,0.055,0.646,0.997,0.5,100.24,4,265.5,18,24,224,40,"pop, rock","5AnCLGg35ziFOloEnXK4uu",71,278747,0,"['Miley Cyrus']","['5YGY8feqx7naU7z4HrwZM6']","2013-10-04",0.583,0.655,0,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,4
"After All",1989,79,"Cher",0.089,0.021,0.89,0.9672,0.9,99.23,4.4,337.5,14,28,293,46,"electronic/dance, disco, folk, pop, hip-hop/rnb, rock","7L0ZxkPAVVJ3i0M8Zx6jVT",44,189560,0,"['The Frank And Walters']","['0ZurKOkOcHpO44alHZJpyC']","1993-04-05",0.319,0.733,4,-12.13,1,0.0407,0.0338,0.00101,0.343,0.722,136.009,4
