,year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
148,1987,21,The Lady In Red,Chris De Burgh,0.195,0.02,0.785,0.9934,0.5,100.24,4.0,297.9,19,27,243,45,,0.548,0.294,10,-17.112,1.0,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,audio_features,1GeNWyZtCHbcp3ZWp8GTOO,spotify:track:1GeNWyZtCHbcp3ZWp8GTOO,https://api.spotify.com/v1/tracks/1GeNWyZtCHbcp3ZWp8GTOO,https://api.spotify.com/v1/audio-analysis/1GeNWyZtCHbcp3ZWp8GTOO,256173.0,4.0
149,1987,24,I Want Your Sex,George Michael,0.193,0.074,0.733,0.9929,0.5,100.24,4.0,422.1,24,28,364,65,"pop, rock",0.812,0.6,10,-13.418,0.0,0.0538,0.00509,0.0248,0.0465,0.8,99.189,audio_features,6QnFHieoch6U9J8zfv6hml,spotify:track:6QnFHieoch6U9J8zfv6hml,https://api.spotify.com/v1/tracks/6QnFHieoch6U9J8zfv6hml,https://api.spotify.com/v1/audio-analysis/6QnFHieoch6U9J8zfv6hml,557293.0,4.0
150,1987,28,The Next Time I Fall,Peter Cetera,0.306,0.018,0.676,0.9982,-0.7,108.7,4.0,291.6,13,29,256,44,,0.645,0.431,8,-10.178,1.0,0.0272,0.438,0.000634,0.0709,0.336,118.223,audio_features,7zSDDsIlks515d0tZGM64x,spotify:track:7zSDDsIlks515d0tZGM64x,https://api.spotify.com/v1/tracks/7zSDDsIlks515d0tZGM64x,https://api.spotify.com/v1/audio-analysis/7zSDDsIlks515d0tZGM64x,226133.0,4.0
151,1987,30,Open Your Heart,Madonna,0.127,0.036,0.837,0.9861,0.5,105.66,5.2,356.4,11,23,327,40,"electronic/dance, electronic/dance, pop",0.656,0.899,5,-5.039,1.0,0.0565,0.0261,0.0,0.0936,0.865,113.239,audio_features,3kme5Qos8h04yrKxsgur79,spotify:track:3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/tracks/3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/audio-analysis/3kme5Qos8h04yrKxsgur79,229280.0,4.0
152,1987,32,(I Just) Died In Your Arms,Cutting Crew,0.07,0.164,0.766,-0.9866,0.9,99.23,4.4,372.6,26,31,310,45,,0.625,0.726,11,-11.402,0.0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,audio_features,4ByEFOBuLXpCqvO1kw8Wdm,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/tracks/4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/audio-analysis/4ByEFOBuLXpCqvO1kw8Wdm,280400.0,4.0
153,1987,35,Keep Your Hands To Yourself,Georgia Satellites,0.037,0.23,0.733,-0.9906,2.9,94.15,6.4,253.8,15,5,214,18,,0.577,0.807,2,-9.281,1.0,0.0449,0.00233,0.000257,0.0755,0.891,114.921,audio_features,5tORtBzHUAnNrIw5Ql3kHZ,spotify:track:5tORtBzHUAnNrIw5Ql3kHZ,https://api.spotify.com/v1/tracks/5tORtBzHUAnNrIw5Ql3kHZ,https://api.spotify.com/v1/audio-analysis/5tORtBzHUAnNrIw5Ql3kHZ,205000.0,4.0
154,1987,36,I Knew You Were Waiting,Aretha Franklin,0.165,0.061,0.774,0.9881,1.3,98.21,4.800000000000001,450.0,34,19,381,54,"jazz, pop, hip-hop/rnb, rock, soul",0.705,0.842,9,-6.171,1.0,0.0503,0.231,0.0,0.382,0.712,107.931,audio_features,2gJDyiRxxIglLXp545SPVL,spotify:track:2gJDyiRxxIglLXp545SPVL,https://api.spotify.com/v1/tracks/2gJDyiRxxIglLXp545SPVL,https://api.spotify.com/v1/audio-analysis/2gJDyiRxxIglLXp545SPVL,240120.0,4.0
155,1987,37,Control,Janet Jackson,0.132,0.008,0.861,0.9898,-0.3,107.69,4.4,416.7,17,25,363,58,"electronic/dance, pop",0.785,0.786,11,-12.487,1.0,0.0501,0.28,0.236,0.158,0.638,120.404,audio_features,5vywtoD7fO1CP0B2wtm6I6,spotify:track:5vywtoD7fO1CP0B2wtm6I6,https://api.spotify.com/v1/tracks/5vywtoD7fO1CP0B2wtm6I6,https://api.spotify.com/v1/audio-analysis/5vywtoD7fO1CP0B2wtm6I6,353307.0,4.0
156,1987,39,Somewhere Out There,Linda Ronstadt,0.224,0.026,0.75,0.9885,1.7,91.78,4.0,224.1,13,20,167,30,"country, folk",0.32,0.221,0,-16.302,1.0,0.0328,0.817,0.000137,0.0977,0.116,80.04,audio_features,6Zd6gSMyyjSybIw4lK9Ecy,spotify:track:6Zd6gSMyyjSybIw4lK9Ecy,https://api.spotify.com/v1/tracks/6Zd6gSMyyjSybIw4lK9Ecy,https://api.spotify.com/v1/audio-analysis/6Zd6gSMyyjSybIw4lK9Ecy,238173.0,4.0
157,1987,46,Causing A Commotion,Madonna,0.079,0.07,0.85,0.0772,6.0,69.79,6.0,46.8,9,0,32,3,"electronic/dance, electronic/dance, pop",0.771,0.749,5,-10.628,0.0,0.0401,0.216,0.00184,0.135,0.854,119.875,audio_features,3sX3c6QUPSAiKf77RZRf5B,spotify:track:3sX3c6QUPSAiKf77RZRf5B,https://api.spotify.com/v1/tracks/3sX3c6QUPSAiKf77RZRf5B,https://api.spotify.com/v1/audio-analysis/3sX3c6QUPSAiKf77RZRf5B,261667.0,4.0
