,title,year,position,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,id_x,popularity,duration_ms_x,explicit,artists,id_artists,release_date,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,type,id_y,uri,track_href,analysis_url,duration_ms_y,time_signature_y
30,Black Or White,1992,14,Michael Jackson,0.148,0.114,0.738,0.9343,0.9,99.23,4.4,502.2,36,28,428,66,"disco, pop, hip-hop/rnb, rock, soul",,,,,,,,,,,,,,,,,,,,0.759,0.927,9,-2.768,1.0,0.051,0.11,0.029,0.374,0.96,115.075,audio_features,6wdviVWctiZnY6tVn6bh6A,spotify:track:6wdviVWctiZnY6tVn6bh6A,https://api.spotify.com/v1/tracks/6wdviVWctiZnY6tVn6bh6A,https://api.spotify.com/v1/audio-analysis/6wdviVWctiZnY6tVn6bh6A,198507.0,4.0
31,Blame It On The Rain,1990,46,Milli Vanilli,0.068,0.147,0.784,-0.9846,-0.3,107.69,4.4,483.3,23,29,421,61,,,,,,,,,,,,,,,,,,,,,0.758,0.827,4,-6.151,0.0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,audio_features,0UUpyDCYzkziXJ1TM4awHM,spotify:track:0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/tracks/0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/audio-analysis/0UUpyDCYzkziXJ1TM4awHM,248533.0,4.0
32,Blame It On The Rain,1990,46,Milli Vanilli,0.068,0.147,0.784,-0.9846,-0.3,107.69,4.4,483.3,23,29,421,61,,,,,,,,,,,,,,,,,,,,,0.758,0.827,4,-6.151,0.0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,audio_features,0UUpyDCYzkziXJ1TM4awHM,spotify:track:0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/tracks/0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/audio-analysis/0UUpyDCYzkziXJ1TM4awHM,248533.0,4.0
33,Blame It On The Rain,1989,21,Milli Vanilli,0.068,0.147,0.784,-0.9846,-0.3,107.69,4.4,483.3,23,29,421,61,,,,,,,,,,,,,,,,,,,,,0.758,0.827,4,-6.151,0.0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,audio_features,0UUpyDCYzkziXJ1TM4awHM,spotify:track:0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/tracks/0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/audio-analysis/0UUpyDCYzkziXJ1TM4awHM,248533.0,4.0
34,Blame It On The Rain,1989,21,Milli Vanilli,0.068,0.147,0.784,-0.9846,-0.3,107.69,4.4,483.3,23,29,421,61,,,,,,,,,,,,,,,,,,,,,0.758,0.827,4,-6.151,0.0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,audio_features,0UUpyDCYzkziXJ1TM4awHM,spotify:track:0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/tracks/0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/audio-analysis/0UUpyDCYzkziXJ1TM4awHM,248533.0,4.0
35,Blowing Kisses In The Wind,1992,73,Paula Abdul,0.229,0.112,0.66,0.988,0.5,100.24,4.0,274.5,18,27,225,41,pop,,,,,,,,,,,,,,,,,,,,0.524,0.544,6,-9.059,0.0,0.0337,0.574,0.0,0.236,0.261,147.674,audio_features,1uhsVQi7IADIxZXN1xJnk5,spotify:track:1uhsVQi7IADIxZXN1xJnk5,https://api.spotify.com/v1/tracks/1uhsVQi7IADIxZXN1xJnk5,https://api.spotify.com/v1/audio-analysis/1uhsVQi7IADIxZXN1xJnk5,281840.0,4.0
36,Bop Gun,1994,99,Ice Cube,0.114,0.12,0.766,-0.9054,1.3,98.21,4.8,1650.6,89,65,1356,189,hip-hop/rnb,,,,,,,,,,,,,,,,,,,,0.891,0.837,6,-5.402,1.0,0.0638,0.283,0.0,0.412,0.767,103.05,audio_features,0oZiK5HCMPn241PbUCslkF,spotify:track:0oZiK5HCMPn241PbUCslkF,https://api.spotify.com/v1/tracks/0oZiK5HCMPn241PbUCslkF,https://api.spotify.com/v1/audio-analysis/0oZiK5HCMPn241PbUCslkF,287080.0,4.0
37,Born In The USA,1985,92,Bruce Springsteen,0.031,0.143,0.826,-0.9786,-0.3,107.69,4.4,298.8,17,21,270,40,"folk, rock",,,,,,,,,,,,,,,,,,,,0.398,0.952,4,-6.042,1.0,0.061,0.000373,7.75e-05,0.1,0.584,122.093,audio_features,0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/audio-analysis/0dOg1ySSI7NkpAe89Zo0b9,278680.0,4.0
38,Bounce With Me,2000,94,Lil Bow Wow,0.122,0.039,0.838,0.9956,-0.3,107.69,4.4,702.0,44,29,631,95,,,,,,,,,,,,,,,,,,,,,N,o,n,e,,,,,,,,,,,,,,
39,"Bump, Bump, Bump",2003,22,B2K,0.139,0.04,0.822,0.9969,0.9,99.23,4.4,806.4,46,50,696,104,,,,,,,,,,,,,,,,,,,,,0.834,0.685,1,-5.862,0.0,0.225,0.0998,0.0,0.0514,0.877,95.507,audio_features,6FTJuZtQZvmPPRFmrcno9J,spotify:track:6FTJuZtQZvmPPRFmrcno9J,https://api.spotify.com/v1/tracks/6FTJuZtQZvmPPRFmrcno9J,https://api.spotify.com/v1/audio-analysis/6FTJuZtQZvmPPRFmrcno9J,278573.0,4.0
40,Bust It Baby Part 2,2008,38,Plies,0.187,0.045,0.768,0.9984,0.9,104.64,5.6,651.6,32,32,568,63,,,,,,,,,,,,,,,,,,,,,N,o,n,e,,,,,,,,,,,,,,
